"Ano","Numero de Contribuições","Tipo de Contribuinte/Fonte","Quantidade de Contribuintes","Tipo de Contribuinte Resumo"
"2003","12","Outro Contr-Gps-Gfip","897409","Outros Contribuintes"
"2003","12","Empregado e Outro Contr-Gps","100763","Ambos"
"2003","12","Empregado e Outro Contr-Gfip","251902","Ambos"
"2003","12","Empregado e Outro Contr-Gps-Gfip","51340","Ambos"
"2004","1","Empregado","1472107","Trabalhadores Empregados"
"2004","1","Outro Contr-Gps","323220","Outros Contribuintes"
"2004","1","Outro Contr-Gfip","511950","Outros Contribuintes"
"2004","1","Outro Contr-Gps-Gfip","1606","Outros Contribuintes"
"2004","1","Empregado e Outro Contr-Gps","1378","Ambos"
"2004","1","Empregado e Outro Contr-Gfip","1357","Ambos"
"2004","1","Empregado e Outro Contr-Gps-Gfip","2","Ambos"
"2004","2","Empregado","1632566","Trabalhadores Empregados"
"2004","2","Outro Contr-Gps","246203","Outros Contribuintes"
"2004","2","Outro Contr-Gfip","267003","Outros Contribuintes"
"2004","2","Outro Contr-Gps-Gfip","5852","Outros Contribuintes"
"2004","2","Empregado e Outro Contr-Gps","6123","Ambos"
"2004","2","Empregado e Outro Contr-Gfip","15725","Ambos"
"2004","2","Empregado e Outro Contr-Gps-Gfip","78","Ambos"
"2004","3","Empregado","1610397","Trabalhadores Empregados"
"2004","3","Outro Contr-Gps","228287","Outros Contribuintes"
"2004","3","Outro Contr-Gfip","192353","Outros Contribuintes"
"2004","3","Outro Contr-Gps-Gfip","6507","Outros Contribuintes"
"2004","3","Empregado e Outro Contr-Gps","9292","Ambos"
"2004","3","Empregado e Outro Contr-Gfip","24531","Ambos"
"2004","3","Empregado e Outro Contr-Gps-Gfip","259","Ambos"
"2004","4","Empregado","1487384","Trabalhadores Empregados"
"2004","4","Outro Contr-Gps","248544","Outros Contribuintes"
"2004","4","Outro Contr-Gfip","164358","Outros Contribuintes"
"2004","4","Outro Contr-Gps-Gfip","7182","Outros Contribuintes"
"2004","4","Empregado e Outro Contr-Gps","12409","Ambos"
"2004","4","Empregado e Outro Contr-Gfip","30071","Ambos"
"2004","4","Empregado e Outro Contr-Gps-Gfip","376","Ambos"
"2004","5","Empregado","1481988","Trabalhadores Empregados"
"2004","5","Outro Contr-Gps","208013","Outros Contribuintes"
"2004","5","Outro Contr-Gfip","147515","Outros Contribuintes"
"2004","5","Outro Contr-Gps-Gfip","7937","Outros Contribuintes"
"2004","5","Empregado e Outro Contr-Gps","14336","Ambos"
"2004","5","Empregado e Outro Contr-Gfip","34874","Ambos"
"2004","5","Empregado e Outro Contr-Gps-Gfip","590","Ambos"
"2004","6","Empregado","1560718","Trabalhadores Empregados"
"2004","6","Outro Contr-Gps","202747","Outros Contribuintes"
"2004","6","Outro Contr-Gfip","137296","Outros Contribuintes"
"2004","6","Outro Contr-Gps-Gfip","9098","Outros Contribuintes"
"2004","6","Empregado e Outro Contr-Gps","15946","Ambos"
"2004","6","Empregado e Outro Contr-Gfip","38315","Ambos"
"2004","6","Empregado e Outro Contr-Gps-Gfip","771","Ambos"
"2004","7","Empregado","1556098","Trabalhadores Empregados"
"2004","7","Outro Contr-Gps","171425","Outros Contribuintes"
"2004","7","Outro Contr-Gfip","130723","Outros Contribuintes"
"2004","7","Outro Contr-Gps-Gfip","9321","Outros Contribuintes"
"2004","7","Empregado e Outro Contr-Gps","16957","Ambos"
"2004","7","Empregado e Outro Contr-Gfip","41978","Ambos"
"2004","7","Empregado e Outro Contr-Gps-Gfip","996","Ambos"
"2004","8","Empregado","1538079","Trabalhadores Empregados"
"2004","8","Outro Contr-Gps","160791","Outros Contribuintes"
"2004","8","Outro Contr-Gfip","135645","Outros Contribuintes"
"2004","8","Outro Contr-Gps-Gfip","10374","Outros Contribuintes"
"2004","8","Empregado e Outro Contr-Gps","16209","Ambos"
"2004","8","Empregado e Outro Contr-Gfip","44900","Ambos"
"2004","8","Empregado e Outro Contr-Gps-Gfip","1086","Ambos"
"2004","9","Empregado","1558369","Trabalhadores Empregados"
"2004","9","Outro Contr-Gps","160322","Outros Contribuintes"
"2004","9","Outro Contr-Gfip","146410","Outros Contribuintes"
"2004","9","Outro Contr-Gps-Gfip","12587","Outros Contribuintes"
"2004","9","Empregado e Outro Contr-Gps","16075","Ambos"
"2004","9","Empregado e Outro Contr-Gfip","48238","Ambos"
"2004","9","Empregado e Outro Contr-Gps-Gfip","1221","Ambos"
"2004","10","Empregado","1830156","Trabalhadores Empregados"
"2004","10","Outro Contr-Gps","190091","Outros Contribuintes"
"2004","10","Outro Contr-Gfip","189981","Outros Contribuintes"
"2004","10","Outro Contr-Gps-Gfip","16345","Outros Contribuintes"
"2004","10","Empregado e Outro Contr-Gps","18445","Ambos"
"2004","10","Empregado e Outro Contr-Gfip","57579","Ambos"
"2004","10","Empregado e Outro Contr-Gps-Gfip","1556","Ambos"
"2004","11","Empregado","2705637","Trabalhadores Empregados"
"2004","11","Outro Contr-Gps","358599","Outros Contribuintes"
"2004","11","Outro Contr-Gfip","327137","Outros Contribuintes"
"2004","11","Outro Contr-Gps-Gfip","30200","Outros Contribuintes"
"2004","11","Empregado e Outro Contr-Gps","26679","Ambos"
"2004","11","Empregado e Outro Contr-Gfip","81056","Ambos"
"2004","11","Empregado e Outro Contr-Gps-Gfip","2636","Ambos"
"2004","12","Empregado","13766912","Trabalhadores Empregados"
"2004","12","Outro Contr-Gps","2093926","Outros Contribuintes"
"2004","12","Outro Contr-Gfip","1499711","Outros Contribuintes"
"2004","12","Outro Contr-Gps-Gfip","207643","Outros Contribuintes"
"2004","12","Empregado e Outro Contr-Gps","102915","Ambos"
"2004","12","Empregado e Outro Contr-Gfip","417277","Ambos"
"2004","12","Empregado e Outro Contr-Gps-Gfip","14774","Ambos"
"2005","1","Empregado","1600401","Trabalhadores Empregados"
"2005","1","Outro Contr-Gps","334090","Outros Contribuintes"
"2005","1","Outro Contr-Gfip","555968","Outros Contribuintes"
"2005","1","Outro Contr-Gps-Gfip","1287","Outros Contribuintes"
"2005","1","Empregado e Outro Contr-Gps","1299","Ambos"
"2005","1","Empregado e Outro Contr-Gfip","1512","Ambos"
"2005","1","Empregado e Outro Contr-Gps-Gfip","0","Ambos"
"2005","2","Empregado","1754624","Trabalhadores Empregados"
"2005","2","Outro Contr-Gps","246684","Outros Contribuintes"
"2005","2","Outro Contr-Gfip","277421","Outros Contribuintes"
"2005","2","Outro Contr-Gps-Gfip","5156","Outros Contribuintes"
"2005","2","Empregado e Outro Contr-Gps","6619","Ambos"
"2005","2","Empregado e Outro Contr-Gfip","17834","Ambos"
"2005","2","Empregado e Outro Contr-Gps-Gfip","68","Ambos"
"2005","3","Empregado","1995545","Trabalhadores Empregados"
"2005","3","Outro Contr-Gps","223856","Outros Contribuintes"
"2005","3","Outro Contr-Gfip","200104","Outros Contribuintes"
"2005","3","Outro Contr-Gps-Gfip","5801","Outros Contribuintes"
"2005","3","Empregado e Outro Contr-Gps","10546","Ambos"
"2005","3","Empregado e Outro Contr-Gfip","28521","Ambos"
"2005","3","Empregado e Outro Contr-Gps-Gfip","228","Ambos"
"2005","4","Empregado","1631350","Trabalhadores Empregados"
"2005","4","Outro Contr-Gps","220876","Outros Contribuintes"
"2005","4","Outro Contr-Gfip","164529","Outros Contribuintes"
"2005","4","Outro Contr-Gps-Gfip","6474","Outros Contribuintes"
"2005","4","Empregado e Outro Contr-Gps","13374","Ambos"
"2005","4","Empregado e Outro Contr-Gfip","35744","Ambos"
"2005","4","Empregado e Outro Contr-Gps-Gfip","411","Ambos"
"2005","5","Empregado","1622040","Trabalhadores Empregados"
"2005","5","Outro Contr-Gps","185595","Outros Contribuintes"
"2005","5","Outro Contr-Gfip","147141","Outros Contribuintes"
"2005","5","Outro Contr-Gps-Gfip","6757","Outros Contribuintes"
"2005","5","Empregado e Outro Contr-Gps","15695","Ambos"
"2005","5","Empregado e Outro Contr-Gfip","39063","Ambos"
"2005","5","Empregado e Outro Contr-Gps-Gfip","550","Ambos"
"2005","6","Empregado","1669436","Trabalhadores Empregados"
"2005","6","Outro Contr-Gps","164396","Outros Contribuintes"
"2005","6","Outro Contr-Gfip","137315","Outros Contribuintes"
"2005","6","Outro Contr-Gps-Gfip","7184","Outros Contribuintes"
"2005","6","Empregado e Outro Contr-Gps","17335","Ambos"
"2005","6","Empregado e Outro Contr-Gfip","42996","Ambos"
"2005","6","Empregado e Outro Contr-Gps-Gfip","681","Ambos"
"2005","7","Empregado","1720611","Trabalhadores Empregados"
"2005","7","Outro Contr-Gps","168277","Outros Contribuintes"
"2005","7","Outro Contr-Gfip","137033","Outros Contribuintes"
"2005","7","Outro Contr-Gps-Gfip","7663","Outros Contribuintes"
"2005","7","Empregado e Outro Contr-Gps","18611","Ambos"
"2005","7","Empregado e Outro Contr-Gfip","48140","Ambos"
"2005","7","Empregado e Outro Contr-Gps-Gfip","930","Ambos"
"2005","8","Empregado","1727575","Trabalhadores Empregados"
"2005","8","Outro Contr-Gps","189713","Outros Contribuintes"
"2005","8","Outro Contr-Gfip","138285","Outros Contribuintes"
"2005","8","Outro Contr-Gps-Gfip","9047","Outros Contribuintes"
"2005","8","Empregado e Outro Contr-Gps","18597","Ambos"
"2005","8","Empregado e Outro Contr-Gfip","52012","Ambos"
"2005","8","Empregado e Outro Contr-Gps-Gfip","1082","Ambos"
"2005","9","Empregado","2072830","Trabalhadores Empregados"
"2005","9","Outro Contr-Gps","179353","Outros Contribuintes"
"2005","9","Outro Contr-Gfip","145679","Outros Contribuintes"
"2005","9","Outro Contr-Gps-Gfip","10615","Outros Contribuintes"
"2005","9","Empregado e Outro Contr-Gps","18514","Ambos"
"2005","9","Empregado e Outro Contr-Gfip","61462","Ambos"
"2005","9","Empregado e Outro Contr-Gps-Gfip","1306","Ambos"
"2005","10","Empregado","1903246","Trabalhadores Empregados"
"2005","10","Outro Contr-Gps","212890","Outros Contribuintes"
"2005","10","Outro Contr-Gfip","172505","Outros Contribuintes"
"2005","10","Outro Contr-Gps-Gfip","13621","Outros Contribuintes"
"2005","10","Empregado e Outro Contr-Gps","20044","Ambos"
"2005","10","Empregado e Outro Contr-Gfip","64288","Ambos"
"2005","10","Empregado e Outro Contr-Gps-Gfip","1614","Ambos"
"2005","11","Empregado","2824994","Trabalhadores Empregados"
"2005","11","Outro Contr-Gps","382453","Outros Contribuintes"
"2005","11","Outro Contr-Gfip","287291","Outros Contribuintes"
"2005","11","Outro Contr-Gps-Gfip","24816","Outros Contribuintes"
"2005","11","Empregado e Outro Contr-Gps","28189","Ambos"
"2005","11","Empregado e Outro Contr-Gfip","89577","Ambos"
"2005","11","Empregado e Outro Contr-Gps-Gfip","2475","Ambos"
"2005","12","Empregado","14164349","Trabalhadores Empregados"
"2005","12","Outro Contr-Gps","2184845","Outros Contribuintes"
"2005","12","Outro Contr-Gfip","1751396","Outros Contribuintes"
"2005","12","Outro Contr-Gps-Gfip","193588","Outros Contribuintes"
"2005","12","Empregado e Outro Contr-Gps","111894","Ambos"
"2005","12","Empregado e Outro Contr-Gfip","462695","Ambos"
"2005","12","Empregado e Outro Contr-Gps-Gfip","14424","Ambos"
"2006","1","Empregado","1815158","Trabalhadores Empregados"
"2006","1","Outro Contr-Gps","318621","Outros Contribuintes"
"2006","1","Outro Contr-Gfip","598942","Outros Contribuintes"
"2006","1","Outro Contr-Gps-Gfip","1028","Outros Contribuintes"
"2006","1","Empregado e Outro Contr-Gps","897","Ambos"
"2006","1","Empregado e Outro Contr-Gfip","1730","Ambos"
"2006","1","Empregado e Outro Contr-Gps-Gfip","3","Ambos"
"2006","2","Empregado","1940190","Trabalhadores Empregados"
"2006","2","Outro Contr-Gps","241643","Outros Contribuintes"
"2006","2","Outro Contr-Gfip","283975","Outros Contribuintes"
"2006","2","Outro Contr-Gps-Gfip","4758","Outros Contribuintes"
"2006","2","Empregado e Outro Contr-Gps","6357","Ambos"
"2006","2","Empregado e Outro Contr-Gfip","21038","Ambos"
"2006","2","Empregado e Outro Contr-Gps-Gfip","66","Ambos"
"2006","3","Empregado","1905676","Trabalhadores Empregados"
"2006","3","Outro Contr-Gps","233883","Outros Contribuintes"
"2006","3","Outro Contr-Gfip","205950","Outros Contribuintes"
"2006","3","Outro Contr-Gps-Gfip","5395","Outros Contribuintes"
"2006","3","Empregado e Outro Contr-Gps","10049","Ambos"
"2006","3","Empregado e Outro Contr-Gfip","31598","Ambos"
"2006","3","Empregado e Outro Contr-Gps-Gfip","196","Ambos"
"2006","4","Empregado","1804339","Trabalhadores Empregados"
"2006","4","Outro Contr-Gps","239039","Outros Contribuintes"
"2006","4","Outro Contr-Gfip","165316","Outros Contribuintes"
"2006","4","Outro Contr-Gps-Gfip","5805","Outros Contribuintes"
"2006","4","Empregado e Outro Contr-Gps","13349","Ambos"
"2006","4","Empregado e Outro Contr-Gfip","37328","Ambos"
"2006","4","Empregado e Outro Contr-Gps-Gfip","353","Ambos"
"2006","5","Empregado","1821995","Trabalhadores Empregados"
"2006","5","Outro Contr-Gps","205243","Outros Contribuintes"
"2006","5","Outro Contr-Gfip","147634","Outros Contribuintes"
"2006","5","Outro Contr-Gps-Gfip","6246","Outros Contribuintes"
"2006","5","Empregado e Outro Contr-Gps","15790","Ambos"
"2006","5","Empregado e Outro Contr-Gfip","42648","Ambos"
"2006","5","Empregado e Outro Contr-Gps-Gfip","501","Ambos"
"2006","6","Empregado","1931934","Trabalhadores Empregados"
"2006","6","Outro Contr-Gps","194491","Outros Contribuintes"
"2006","6","Outro Contr-Gfip","139178","Outros Contribuintes"
"2006","6","Outro Contr-Gps-Gfip","6729","Outros Contribuintes"
"2006","6","Empregado e Outro Contr-Gps","17838","Ambos"
"2006","6","Empregado e Outro Contr-Gfip","46202","Ambos"
"2006","6","Empregado e Outro Contr-Gps-Gfip","746","Ambos"
"2006","7","Empregado","1831912","Trabalhadores Empregados"
"2006","7","Outro Contr-Gps","183457","Outros Contribuintes"
"2006","7","Outro Contr-Gfip","135228","Outros Contribuintes"
"2006","7","Outro Contr-Gps-Gfip","7512","Outros Contribuintes"
"2006","7","Empregado e Outro Contr-Gps","18586","Ambos"
"2006","7","Empregado e Outro Contr-Gfip","49502","Ambos"
"2006","7","Empregado e Outro Contr-Gps-Gfip","800","Ambos"
"2006","8","Empregado","1811403","Trabalhadores Empregados"
"2006","8","Outro Contr-Gps","184255","Outros Contribuintes"
"2006","8","Outro Contr-Gfip","142057","Outros Contribuintes"
"2006","8","Outro Contr-Gps-Gfip","8322","Outros Contribuintes"
"2006","8","Empregado e Outro Contr-Gps","18705","Ambos"
"2006","8","Empregado e Outro Contr-Gfip","52717","Ambos"
"2006","8","Empregado e Outro Contr-Gps-Gfip","975","Ambos"
"2006","9","Empregado","1736592","Trabalhadores Empregados"
"2006","9","Outro Contr-Gps","184755","Outros Contribuintes"
"2006","9","Outro Contr-Gfip","148115","Outros Contribuintes"
"2006","9","Outro Contr-Gps-Gfip","9586","Outros Contribuintes"
"2006","9","Empregado e Outro Contr-Gps","18524","Ambos"
"2006","9","Empregado e Outro Contr-Gfip","54312","Ambos"
"2006","9","Empregado e Outro Contr-Gps-Gfip","1161","Ambos"
"2006","10","Empregado","1974917","Trabalhadores Empregados"
"2006","10","Outro Contr-Gps","209007","Outros Contribuintes"
"2006","10","Outro Contr-Gfip","183306","Outros Contribuintes"
"2006","10","Outro Contr-Gps-Gfip","11998","Outros Contribuintes"
"2006","10","Empregado e Outro Contr-Gps","20634","Ambos"
"2006","10","Empregado e Outro Contr-Gfip","64312","Ambos"
"2006","10","Empregado e Outro Contr-Gps-Gfip","1378","Ambos"
"2006","11","Empregado","3380617","Trabalhadores Empregados"
"2006","11","Outro Contr-Gps","393095","Outros Contribuintes"
"2006","11","Outro Contr-Gfip","357748","Outros Contribuintes"
"2006","11","Outro Contr-Gps-Gfip","22882","Outros Contribuintes"
"2006","11","Empregado e Outro Contr-Gps","31119","Ambos"
"2006","11","Empregado e Outro Contr-Gfip","95476","Ambos"
"2006","11","Empregado e Outro Contr-Gps-Gfip","2301","Ambos"
"2006","12","Empregado","14203837","Trabalhadores Empregados"
"2006","12","Outro Contr-Gps","2138210","Outros Contribuintes"
"2006","12","Outro Contr-Gfip","1768087","Outros Contribuintes"
"2006","12","Outro Contr-Gps-Gfip","170583","Outros Contribuintes"
"2006","12","Empregado e Outro Contr-Gps","105479","Ambos"
"2006","12","Empregado e Outro Contr-Gfip","461417","Ambos"
"2006","12","Empregado e Outro Contr-Gps-Gfip","12001","Ambos"
"2007","1","Outro Contr-Gps","38953","Outros Contribuintes"
"2007","2","Outro Contr-Gps","26250","Outros Contribuintes"
"2007","3","Outro Contr-Gps","30231","Outros Contribuintes"
"2007","4","Outro Contr-Gps","28920","Outros Contribuintes"
"2007","5","Outro Contr-Gps","22454","Outros Contribuintes"
"2007","6","Outro Contr-Gps","20239","Outros Contribuintes"
"2007","7","Outro Contr-Gps","18745","Outros Contribuintes"
"2007","8","Outro Contr-Gps","18782","Outros Contribuintes"
"2007","9","Outro Contr-Gps","18175","Outros Contribuintes"
"2007","10","Outro Contr-Gps","16928","Outros Contribuintes"
"2007","11","Outro Contr-Gps","31976","Outros Contribuintes"
"2007","12","Outro Contr-Gps","177507","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gps","63","Ambos"
"2007","2","Empregado e Outro Contr-Gps","802","Ambos"
"2007","3","Empregado e Outro Contr-Gps","1319","Ambos"
"2007","4","Empregado e Outro Contr-Gps","1698","Ambos"
"2007","5","Empregado e Outro Contr-Gps","2101","Ambos"
"2007","6","Empregado e Outro Contr-Gps","2496","Ambos"
"2007","7","Empregado e Outro Contr-Gps","2916","Ambos"
"2007","8","Empregado e Outro Contr-Gps","2780","Ambos"
"2007","9","Empregado e Outro Contr-Gps","2988","Ambos"
"2007","10","Empregado e Outro Contr-Gps","3311","Ambos"
"2007","11","Empregado e Outro Contr-Gps","5443","Ambos"
"2007","12","Empregado e Outro Contr-Gps","19656","Ambos"
"2007","1","Outro Contr-Gfip","87919","Outros Contribuintes"
"2007","2","Outro Contr-Gfip","37378","Outros Contribuintes"
"2007","3","Outro Contr-Gfip","25326","Outros Contribuintes"
"2007","4","Outro Contr-Gfip","19382","Outros Contribuintes"
"2007","5","Outro Contr-Gfip","16662","Outros Contribuintes"
"2007","6","Outro Contr-Gfip","16174","Outros Contribuintes"
"2007","7","Outro Contr-Gfip","14698","Outros Contribuintes"
"2007","8","Outro Contr-Gfip","14643","Outros Contribuintes"
"2007","9","Outro Contr-Gfip","15904","Outros Contribuintes"
"2007","10","Outro Contr-Gfip","18045","Outros Contribuintes"
"2007","11","Outro Contr-Gfip","31295","Outros Contribuintes"
"2007","12","Outro Contr-Gfip","210273","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gfip","158","Ambos"
"2007","2","Empregado e Outro Contr-Gfip","1813","Ambos"
"2007","3","Empregado e Outro Contr-Gfip","2719","Ambos"
"2007","4","Empregado e Outro Contr-Gfip","3184","Ambos"
"2007","5","Empregado e Outro Contr-Gfip","3669","Ambos"
"2007","6","Empregado e Outro Contr-Gfip","3862","Ambos"
"2007","7","Empregado e Outro Contr-Gfip","4149","Ambos"
"2007","8","Empregado e Outro Contr-Gfip","4595","Ambos"
"2007","9","Empregado e Outro Contr-Gfip","5049","Ambos"
"2007","10","Empregado e Outro Contr-Gfip","5846","Ambos"
"2007","11","Empregado e Outro Contr-Gfip","8711","Ambos"
"2007","12","Empregado e Outro Contr-Gfip","72911","Ambos"
"2007","1","Outro Contr-Gps-Gfip","198","Outros Contribuintes"
"2007","2","Outro Contr-Gps-Gfip","771","Outros Contribuintes"
"2007","3","Outro Contr-Gps-Gfip","846","Outros Contribuintes"
"2007","4","Outro Contr-Gps-Gfip","887","Outros Contribuintes"
"2007","5","Outro Contr-Gps-Gfip","1001","Outros Contribuintes"
"2007","6","Outro Contr-Gps-Gfip","896","Outros Contribuintes"
"2007","7","Outro Contr-Gps-Gfip","1036","Outros Contribuintes"
"2007","8","Outro Contr-Gps-Gfip","1083","Outros Contribuintes"
"2007","9","Outro Contr-Gps-Gfip","1228","Outros Contribuintes"
"2007","10","Outro Contr-Gps-Gfip","1393","Outros Contribuintes"
"2007","11","Outro Contr-Gps-Gfip","2381","Outros Contribuintes"
"2007","12","Outro Contr-Gps-Gfip","18205","Outros Contribuintes"
"2007","1","Empregado e Outro Contr-Gps-Gfip","1","Ambos"
"2007","2","Empregado e Outro Contr-Gps-Gfip","7","Ambos"
"2007","3","Empregado e Outro Contr-Gps-Gfip","30","Ambos"
"2007","4","Empregado e Outro Contr-Gps-Gfip","62","Ambos"
"2007","5","Empregado e Outro Contr-Gps-Gfip","93","Ambos"
"2007","6","Empregado e Outro Contr-Gps-Gfip","94","Ambos"
"2007","7","Empregado e Outro Contr-Gps-Gfip","170","Ambos"
"2007","8","Empregado e Outro Contr-Gps-Gfip","162","Ambos"
"2007","9","Empregado e Outro Contr-Gps-Gfip","181","Ambos"
"2007","10","Empregado e Outro Contr-Gps-Gfip","274","Ambos"
"2007","11","Empregado e Outro Contr-Gps-Gfip","370","Ambos"
"2007","12","Empregado e Outro Contr-Gps-Gfip","2541","Ambos"
"2007","1","Empregado","114558","Trabalhadores Empregados"
"2007","2","Empregado","108260","Trabalhadores Empregados"
"2007","3","Empregado","109683","Trabalhadores Empregados"
"2007","4","Empregado","98764","Trabalhadores Empregados"
"2007","5","Empregado","105882","Trabalhadores Empregados"
"2007","6","Empregado","105105","Trabalhadores Empregados"
"2007","7","Empregado","106215","Trabalhadores Empregados"
"2007","8","Empregado","107508","Trabalhadores Empregados"
"2007","9","Empregado","108873","Trabalhadores Empregados"
"2007","10","Empregado","123850","Trabalhadores Empregados"
"2007","11","Empregado","189169","Trabalhadores Empregados"
"2007","12","Empregado","1730487","Trabalhadores Empregados"
"2007","1","Outro Contr-Gps","81386","Outros Contribuintes"
"2007","2","Outro Contr-Gps","63712","Outros Contribuintes"
"2007","3","Outro Contr-Gps","69505","Outros Contribuintes"
"2007","4","Outro Contr-Gps","65763","Outros Contribuintes"
"2007","5","Outro Contr-Gps","57668","Outros Contribuintes"
"2007","6","Outro Contr-Gps","55709","Outros Contribuintes"
"2007","7","Outro Contr-Gps","54249","Outros Contribuintes"
"2007","8","Outro Contr-Gps","56530","Outros Contribuintes"
"2007","9","Outro Contr-Gps","57412","Outros Contribuintes"
"2007","10","Outro Contr-Gps","62795","Outros Contribuintes"
"2007","11","Outro Contr-Gps","138749","Outros Contribuintes"
